ASJP_NAME,AUTHOR,YEAR,TITLE_ETC,LIST_MADE_BY
A_TONG,"van Breugel, S.",2009,"A grammar of Atong. Ph.D. dissertation, La Trobe University, Melbourne.",
A51_BAFIA_MAJA,,,http://www.africamuseum.be/research/human-sciences/linguistics/lexico-1?set_language=de&cl=de (accessed March 2008),AKW
A51_BAFIA_TUMI_TINGON,,,http://www.africamuseum.be/research/human-sciences/linguistics/lexico-1?set_language=de&cl=de (accessed March 2008),AKW
A51_BAFIA_ZAKAAN,,,http://www.africamuseum.be/research/human-sciences/linguistics/lexico-1?set_language=de&cl=de (accessed March 2008),AKW
A53_BAFIA_RIKPA,,,http://www.africamuseum.be/research/human-sciences/linguistics/lexico-1?set_language=de&cl=de (accessed March 2008),AKW
A54_BAFIA_NJANTI,,,http://www.africamuseum.be/research/human-sciences/linguistics/lexico-1?set_language=de&cl=de (accessed March 2008),AKW
A60_GUNU,,,http://www.africamuseum.be/research/human-sciences/linguistics/lexico-1?set_language=de&cl=de (accessed March 2008),AKW
A60_MMAALA,,,http://www.africamuseum.be/research/human-sciences/linguistics/lexico-1?set_language=de&cl=de (accessed March 2008),AKW
A61_NGORO_ASOM,,,http://www.africamuseum.be/research/human-sciences/linguistics/lexico-1?set_language=de&cl=de (accessed March 2008),AKW
A62_KALONGE,,,http://www.africamuseum.be/research/human-sciences/linguistics/lexico-1?set_language=de&cl=de (accessed March 2008),AKW
A72a_EWONDO,,,http://www.africamuseum.be/research/human-sciences/linguistics/lexico-1?set_language=de&cl=de (accessed March 2008),AKW
AASAX,"Ehret, Christopher",1980,"The historical reconstruction of Southern Cushitic phonology and vocabulary. Dietrich Reimer Verlag: Berlin; Maguire, R. A. J. 1928. ""Il-torobo"": Part II. Journal of the Royal African Society, Vol. 27, 107. 249-268.",DA
ABAGA,SIL,1966,Summer Institute of Linguistics Language Survey of Agaba.,SW/MSD
ABANYOM,"Crabb, David Wendell",1965,"Ekoid Bantu languages of Ogoja, eastern Nigeria. Part 1: introduction, phonology and comparative vocabulary. London: Cambridge University Press in association with the West African Linguistic Society (WALS) and the Institute of African Studies, University of Ibadan.",SW/GS
ABAR,"Blench, Roger",n.d.,"Eastern Beboid word lists, Western Beboid word lists [http://www.rogerblench.info/Language/Niger-Congo/Bantoid/Beboid/General/Beboid%20composite.pdf Accessed: 10 Nov 2009.]",VV
ABASAKUR,"Z'graggen, Johannes A.",1980,"A comparative word list of the Northern Adelbert Range languages, Madang Province, Papua New Guinea. Pacific Linguistics D-31. Canberra: Australian National University.",CB
ABAU,"Bailey, David A.",1975,Abau language: Phonology and grammar. Workpapers in Papua New Guinea Languages 9. Ukarumpa: Summer Institute of Linguistics.,JB
ABAU_2,"Lock, Arnold",2011,Abau grammar (Data Papers on Papua New Guinea Languages 57). Papua New Guinea: SIL-PNG Academic Publications.,MSD/JB
ABAZA,"Klimov, Georgij A. and Madzhid Sh. Khalilov",2003,Slovar' kavkazkix jazykov. Moscow: Vostochnaya Literatura.,AM
ABBEY,"Hérault, Georges (ed.)",1983,"Atlas des langues kwa de Côte d?Ivoire 2. Paris & Abidjan: Agence de Coopération Culturelle et Technique (ACCT); Institut de Linguistique Appliquée (ILA), Université d?Abidjan.",SW/GS
ABE,"Gbery, Eddy Aime and William R. Leben",2005,"Studies in the grammar of Abbey. Ann Arbor: UMI.; Ahoua, Firmin. 2006. Morphophonologie des langues kwa de Cote d'Ivoire. Köln: Rüdiger Köppe.",
ABIDJI,"Tresbarats, Chantal.",1983,"L'Abidji. In Georges He?rault (ed.), Atlas des langues kwa de Cote d'Ivoire volume 1, 41-65. Abidjan & Paris: Institut de Linguistique Applique?e (ILA); Agence de Coope?ration Culturelle et Technique (ACCT).; Dumestre, Ge?rard. 1971. Atlas linguistique de Co?te-d'Ivoire: les langues de la re?gion lagunaire. Abidjan: Institut de Linguistique Applique?e (ILA).",TVV
ABIDJI_2,"Hérault, Georges (ed.)",1983,"Atlas des langues kwa de Côte d?Ivoire 2. Paris & Abidjan: Agence de Coopération Culturelle et Technique (ACCT); Institut de Linguistique Appliquée (ILA), Université d?Abidjan.",SW/GS
ABINOMN,"Fiwei, Christian, Tomas Kokoi, Klaus Fiwei, Yohanies Dude, Hubert Yamboi-Rumanasen, Aser Fiwei, Mark Donohue, and Duane Clouse",1999,"Wreminsiam Abinomnwori. Trial edition, University of Sydney and Summer Institute of Linguistics.",MSD
ABIPON,"Najlis, Elena Lidia",1966,"Lengua abipona, Tomo II. Buenos Aires: Centro de Estudios Lingüísticos, Universidad de Buenos Aires.",CB
ABIRPARA_MAHALI,"Kim, S., A. Kim, S. Ahmad and M. Sangma",2010,The Santali cluster in Bangladesh: a sociolinguistic survey. SIL Electronic Survey Reports 2010-006.,SS
ABKHAZ,"Klimov, Georgij A. and Madzhid Sh. Khalilov",2003,Slovar' kavkazkix jazykov. Moscow: Vostochnaya Literatura.,AM
ABKHAZ_2,"??????, ?. ?. (ed.)",1964,"??????-????????? ???????. ?????: ???????.; ??????, ?. ?. and ????, ?. ?. 2003. ??????????? ?????????? ?????.; ??????????, ?. ?. 2005. ????????-??????? ???????.; http://northeuralex.org/languages/abk (accessed 2020-01-27).",SW
ABNAKI_EASTERN,,,http://www.freelang.net/online/abenaki.php?lg=gb; http://www.native-languages.org/abna_guide.htm,HG
ABNAKI_WESTERN,"Day, Gordon M.",1995,"Western Abenaki dictionary. (Mercury Series, Canadian Ethnology Series, 129.)  Canadian Museum of Civilization.",PB
ABON,"Blench, Roger M.",2010,The Tivoid languages: Classification and comparative word list. Manuscript in preparation.,TVV
ABRON,"Delafosse, Maurice",1904,Vocabulaires Comparatifs de plus de 60 langues ou dialectes parlés a la Cote d'Ivoire. Paris: Ernest Leroux.,JB
ABRON_2,"Hérault, Georges (ed.)",1983,"Atlas des langues kwa de Côte d?Ivoire 2. Paris & Abidjan: Agence de Coopération Culturelle et Technique (ACCT); Institut de Linguistique Appliquée (ILA), Université d?Abidjan.",SW/GS
ABU,"Laycock, Donald C.",n.d.,Notebook D20: Selected Research Papers of Don Laycock on Languages in Papua New Guinea. Don Laycock (compiler). n.d. Pacific And Regional Archive for Digital Sources in Endangered Cultures (PARADISEC). paradisec.org.au/repository/DL2/items/031.,MSD
ABU_2,,,,SW/MSD
ABU_ARAPESH,"Nekitel, Otto Ignatius Manganau Soko'um",1985,"Sociolinguistic aspects of Abu', a Papuan language of the Sepik Area, Papua New Guinea. Ph.D. dissertation, Australian National University.",MSD/JB
ABUA,"Gardner, Ian",1977,"Abua. In Kropp Dakubu, M. E. (ed.), West African language data sheets I. Leiden: West African Linguistic Society with African Studies Centre.",VV
ABUI,"Robinson, Laura C. and Gary Holton",2012,Internal classification of the Alor-Pantar language family using computational methods applied to the lexicon. Language Dynamics and Change 2(2). 123-149.,AKW
ABUI_ATIMELANG,"Stokhof, W. A. L.",1975,"Preliminary notes on the Alor and Pantar languages (East Indonesia). Pacific Linguistics B-43. Canberra: Department of Linguistics, Research School of Pacific Studies, Australian National University.",ZM
ABUI_MAKADAI,"Stokhof, W. A. L.",1975,"Preliminary notes on the Alor and Pantar languages (East Indonesia). Pacific Linguistics B-43. Canberra: Department of Linguistics, Research School of Pacific Studies, Australian National University.",ZM
ABUI_TAKALELANG,"Klamer, Marian",n.d.,[Data supplied by Marian Klamer.],SW/VV
ABUJHMARIA,"Natarajan, G. V.",1985,Abujhmaria grammar. Mysore: Central Institute of Indian Languages.,AKW
ABUL,"Schadeberg, Thilo C.",1981,A survey of Kordofanian I: The Heiban Group. Hamburg: Helmut Buske Verlag.,VV
ABUN,"Berry, Keith and Christine Berry",1999,A description of Abun: A West Papuan language of Irian Jaya. Canberra: Australian National University.,SW
ABUNG_SUKADANA_LAMPUNG_NYO,,,http://language.psy.auckland.ac.nz/austronesian/language.php?id=614 (accessed October 2009),SS
ABURE,"Gauthier, B.",1971,Analyse phonologique de l'Aboure? (Documents linguistiques XXIX). Abidjan: ILA.,TVV
ABURE_2,"Burmeister, Jonathan L.",1983,"L’abouré. Atlas des langues kwa de Côte d?Ivoire 1. Paris &amp; Abidjan: Agence de Coopération Culturelle et Technique (ACCT); Institut de Linguistique Appliquée (ILA), Université d’Abidjan.",SW/GS
ABURE_3,"Hérault, Georges (ed.)",1983,"Atlas des langues kwa de Côte d?Ivoire 2. Paris & Abidjan: Agence de Coopération Culturelle et Technique (ACCT); Institut de Linguistique Appliquée (ILA), Université d?Abidjan.",SW/GS
ACATECO_SAN_MIGUEL_ACATAN,"Kaufman, Terrence S.",1970,"Proyecto de alfabetos y ortografias para escribir las lenguas mayances. Guatemala, C.A.: Proyecto Lingüístico Francisco Marroquín-Ministerio de Educacion Ediciones Idiomas Guatemaltecos.",PB
